Color Name, Hex Code,R,G,B,H,S,V,Name Code
grapefruit,#fd5956,253,89,86,1.0778443113772418,66.00790513833992,99.2156862745098,266133528204596
sand yellow,#fce166,252,225,102,49.19999999999999,59.523809523809526,98.82352941176472,21442846260605431
clay brown,#b2713d,178,113,61,26.666666666666668,65.73033707865167,69.80392156862744,118809468419822
dark blue grey,#1f3b4d,31,59,77,203.4782608695652,59.74025974025974,30.19607843137255,149388835504850716857
flat green,#699d4c,105,157,76,98.51851851851852,51.59235668789809,61.5686274509804,224357221209262
light green blue,#56fca2,86,252,162,147.46987951807228,65.87301587301587,98.82352941176472,464240739350208497922725
warm pink,#fb5581,251,85,129,344.0963855421687,66.13545816733067,98.4313725490196,25342922728907
dodger blue,#3e82fc,62,130,252,218.5263157894737,75.39682539682539,98.82352941176472,5036009777607333
gross green,#a0bf16,160,191,22,71.00591715976331,88.48167539267016,74.90196078431373,8531784970605742
ice,#d6fffa,214,255,250,172.6829268292683,16.07843137254902,100.0,9317
metallic blue,#4f738e,79,115,142,205.7142857142857,44.36619718309859,55.68627450980392,15190690343745041061
pale salmon,#ffb19a,255,177,154,13.663366336633665,39.6078431372549,100.0,18062981671040494
sap green,#5c8b15,92,139,21,83.89830508474576,84.89208633093526,54.50980392156863,20943275103406
algae,#54ac68,84,172,104,133.63636363636363,51.16279069767442,67.45098039215686,1448997
bluey grey,#89a0b0,137,160,176,204.6153846153846,22.15909090909091,69.01960784313725,84290677491897
greeny grey,#7ea07a,126,160,122,113.68421052631578,23.75,62.74509803921568,8520303305279673
highlighter green,#1bfc06,27,252,6,114.8780487804878,97.61904761904762,98.82352941176472,10019990400436034235602094
light light blue,#cafffb,202,255,251,175.47169811320754,20.7843137254902,100.0,464240739516306895745701
light mint,#b6ffbb,182,255,187,124.10958904109587,28.627450980392155,100.0,432357880800724
raw umber,#a75e09,167,94,9,32.27848101265823,94.61077844311376,65.49019607843137,19851294181554
vivid blue,#152eff,21,46,255,233.5897435897436,91.76470588235294,100.0,784717534278309
deep lavender,#8d5eb7,141,94,183,271.685393258427,48.63387978142077,71.76470588235294,4798055852493181106
dull teal,#5f9e8f,95,158,143,165.71428571428572,39.87341772151899,61.96078431372549,5132920689708
light greenish blue,#63f7b4,99,247,180,152.83783783783784,59.91902834008096,96.8627450980392,15212240547027631356506092197
mud green,#606602,96,102,2,63.6,98.03921568627452,40.0,15020515202222
pinky,#fc86aa,252,134,170,341.6949152542373,46.82539682539682,98.82352941176472,17086841
red wine,#8c0034,140,0,52,337.7142857142857,100.0,54.90196078431373,624010438085
shit green,#758000,117,128,0,65.15625,100.0,50.19607843137255,677630889759918
